,0
Glucose,0.3232742274204325
BMI,0.19777566869395752
Age,0.11808718119743414
DiabetesPedigreeFunction,0.11546835528059393
BloodPressure,0.11029803483329328
Pregnancies,0.06204087732818498
Insulin,0.045929736130353394
SkinThickness,0.027125919115750297
