,0
Glucose,0.233277954885322
BMI,0.18786777298554483
Age,0.1535508537657714
DiabetesPedigreeFunction,0.11534807011828539
BloodPressure,0.09344198624490234
SkinThickness,0.07601088217816421
Pregnancies,0.07358959486861566
Insulin,0.06691288495339415
