,0
DiabetesPedigreeFunction,0.7929006414105334
Pregnancies,0.12952714348893524
BMI,0.09851559052359186
Glucose,0.030773241315687067
Age,0.021708409019582743
SkinThickness,0.005771218814411087
Insulin,-0.0010803769435862253
BloodPressure,-0.020504811962986053
